Participant_ID,Group
H06,L2L 7th/8th
H14,L2L 7th/8th
H15,HS 7th/8th
H16,L2L 7th/8th
H18,L2L 4th/5th
H20,HS 4th/5th
H24,HS 4th/5th
H26,HS 4th/5th
H27,L2L 4th/5th
H39,L2L 7th/8th
H47,HS 2nd
H58,HS 2nd
H60,L2L 2nd
H61,L2L 2nd
H68,L2L 2nd
H71,L2L 2nd
H73,L2L 4th/5th
H76,L2L 4th/5th
H79,L2L 7th/8th
H80,HS 7th/8th
H81,NA
H82,NA
H84,L2L 7th/8th
H85,L2L 4th/5th
H86,L2L 2nd
H87,NA
H88,NA
H89,L2L 4th/5th
H90,L2L 4th/5th
H91,L2L 2nd
H93,NA
H94,NA
H95,L2L 7th/8th
H96,L2L 7th/8th
H97,NA
H98,NA
H99,NA
H100,NA
H101,L2L 7th/8th
H102,NA
H103,L2L 4th/5th
H104,L2L 2nd
H105,L2L 4th/5th
H106,L2L 7th/8th
H107,L2L 4th/5th
H108,NA
H109,L2L 4th/5th
H110,L2L 2nd
H111,NA
H113,NA
H114,L2L 7th/8th
H116,HS 7th/8th
H118,HS 4th/5th
H119,HS 4th/5th
H120,HS 4th/5th
H121,NA
H122,NA
H123,NA
H124,HS 2nd
H125,L2L 4th/5th
